2026/05/08 17:14:44 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_105331_job74142_ufplj8k7/summary.json: Copied (new)
2026/05/08 17:14:44 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_105331_job74142_ufplj8k7/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:44 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_105331_job74142_ufplj8k7/manifest.json: Copied (new)
2026/05/08 17:14:45 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_105331_job74142_ufplj8k7/total_return_hist.png: Copied (new)
2026/05/08 17:14:46 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_225636_job74138_97ly951i/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:47 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_225636_job74138_97ly951i/manifest.json: Copied (new)
2026/05/08 17:14:47 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_225636_job74138_97ly951i/summary.json: Copied (new)
2026/05/08 17:14:47 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260413_225636_job74138_97ly951i/total_return_hist.png: Copied (new)
2026/05/08 17:14:48 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_225950_job74146_ur5evt9d/summary.json: Copied (new)
2026/05/08 17:14:48 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_225950_job74146_ur5evt9d/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:48 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_225950_job74146_ur5evt9d/manifest.json: Copied (new)
2026/05/08 17:14:49 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_225950_job74146_ur5evt9d/total_return_hist.png: Copied (new)
2026/05/08 17:14:50 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_045947_job74140_h8ucwjhj/manifest.json: Copied (new)
2026/05/08 17:14:51 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_045947_job74140_h8ucwjhj/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:51 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_045947_job74140_h8ucwjhj/summary.json: Copied (new)
2026/05/08 17:14:52 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_045947_job74140_h8ucwjhj/total_return_hist.png: Copied (new)
2026/05/08 17:14:53 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_075610_job74141_jxq9e3d_/manifest.json: Copied (new)
2026/05/08 17:14:53 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_075610_job74141_jxq9e3d_/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:53 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_075610_job74141_jxq9e3d_/summary.json: Copied (new)
2026/05/08 17:14:54 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_075610_job74141_jxq9e3d_/total_return_hist.png: Copied (new)
2026/05/08 17:14:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/runs/run_001test_result.csv: Copied (new)
2026/05/08 17:14:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/runs/run_002test_result.csv: Copied (new)
2026/05/08 17:14:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/runs/run_003test_result.csv: Copied (new)
2026/05/08 17:14:56 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/runs/run_004test_result.csv: Copied (new)
2026/05/08 17:14:57 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_094321_job74125_jbo5sdvx/runs/run_005test_result.csv: Copied (new)
2026/05/08 17:14:57 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_165644_job74144_dbwdzdc8/manifest.json: Copied (new)
2026/05/08 17:14:57 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_165644_job74144_dbwdzdc8/summary.json: Copied (new)
2026/05/08 17:14:57 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_165644_job74144_dbwdzdc8/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:59 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_165644_job74144_dbwdzdc8/total_return_hist.png: Copied (new)
2026/05/08 17:14:59 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195953_job74145__xmyv0fz/all_runs_metrics.csv: Copied (new)
2026/05/08 17:14:59 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195953_job74145__xmyv0fz/manifest.json: Copied (new)
2026/05/08 17:15:00 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195953_job74145__xmyv0fz/summary.json: Copied (new)
2026/05/08 17:15:00 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_195953_job74145__xmyv0fz/total_return_hist.png: Copied (new)
2026/05/08 17:15:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/runs/run_001test_result.csv: Copied (new)
2026/05/08 17:15:01 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/runs/run_002test_result.csv: Copied (new)
2026/05/08 17:15:02 INFO  : NYSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260414_030122_job74123_eryaem4m/runs/run_003test_result.csv: Copied (new)
2026/05/08 17:15:43 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_020042_job74147_86qdx6pe/total_return_hist.png: Copied (new)
2026/05/08 17:15:43 INFO  : PSE_without_fees_2026-04-13_to_2026-04-15/work_dir/backtests_eiie_20260415_020042_job74147_86qdx6pe/all_runs_metrics.csv: Copied (new)
